tags,elapsed_s,start_unix,end_unix
"['initialize-parser', 'ce6733e1-687c-400d-909b-156dde2bd5a4']",79.22,1713026047.43,1713026126.65
"['initialize-parser', 'b4c9db16-710a-4103-b5c7-0a23702674ce']",79.19,1713026047.46,1713026126.65
"['initialize-parser', 'acf81efc-be20-45c8-8266-8a2d278e6abb']",79.49,1713026047.16,1713026126.65
"['initialize-parser', 'a65d7bfa-7ac3-4c47-8359-1f358dfcb453']",79.56,1713026047.09,1713026126.65
"['initialize-parser', '3a28add6-a300-4b94-93a8-0a0257881ec3']",79.01,1713026047.64,1713026126.65
"['initialize-parser', '920ea800-270c-4895-b735-70d3978d998a']",79.64,1713026047.01,1713026126.65
"['initialize-parser', 'be4363da-a775-4c51-8e1d-4abcf455e67c']",79.62,1713026047.02,1713026126.65
"['initialize-parser', 'd7ad8b7e-7b83-4a6a-b5ca-e00beaee00bb']",79.58,1713026047.06,1713026126.65
"['initialize-parser', '22dbc37a-ae71-4b51-9705-456f7f2c64b3']",79.43,1713026047.22,1713026126.65
"['initialize-parser', 'a4aa7b44-fcc5-4724-b541-a0956e7f0d0b']",79.64,1713026047.00,1713026126.65
"['initialize-parser', 'f16cfdaf-be57-4ae9-9f60-aeff2b47ccfd']",79.45,1713026047.19,1713026126.65
"['initialize-parser', '7cd708b8-8610-4338-8015-d09ebc4edb06']",79.61,1713026047.05,1713026126.65
"['parser-parse', 'f16cfdaf-be57-4ae9-9f60-aeff2b47ccfd']",171.60,1713026126.65,1713026298.25
"['write-jsonl', 'f16cfdaf-be57-4ae9-9f60-aeff2b47ccfd']",0.01,1713026298.25,1713026298.26
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-457.zip']",251.07,1713026047.19,1713026298.26
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-457.zip']",251.54,1713026046.72,1713026298.26
"['initialize-parser', '0c817f15-dea0-443b-be6c-f51cbeaa19cd']",0.00,1713026299.25,1713026299.25
"['parser-parse', 'd7ad8b7e-7b83-4a6a-b5ca-e00beaee00bb']",171.71,1713026126.65,1713026298.35
"['write-jsonl', 'd7ad8b7e-7b83-4a6a-b5ca-e00beaee00bb']",0.01,1713026298.35,1713026298.36
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2926.zip']",251.30,1713026047.06,1713026298.36
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2926.zip']",251.64,1713026046.72,1713026298.36
"['initialize-parser', '5092e9d6-04a8-41a4-872a-369116bcc7a3']",0.00,1713026299.28,1713026299.28
"['parser-parse', '22dbc37a-ae71-4b51-9705-456f7f2c64b3']",174.17,1713026126.65,1713026300.82
"['write-jsonl', '22dbc37a-ae71-4b51-9705-456f7f2c64b3']",0.01,1713026300.82,1713026300.83
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-747.zip']",253.61,1713026047.22,1713026300.83
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-747.zip']",254.11,1713026046.72,1713026300.83
"['initialize-parser', '7a30310d-d4d7-4beb-b671-41d76a257561']",0.00,1713026301.66,1713026301.66
"['parser-parse', 'b4c9db16-710a-4103-b5c7-0a23702674ce']",174.94,1713026126.65,1713026301.59
"['write-jsonl', 'b4c9db16-710a-4103-b5c7-0a23702674ce']",0.01,1713026301.59,1713026301.60
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2820.zip']",254.14,1713026047.46,1713026301.60
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2820.zip']",254.88,1713026046.72,1713026301.60
"['initialize-parser', 'effcadd3-ea00-45da-8b54-f7bea0de2569']",0.00,1713026302.53,1713026302.53
"['parser-parse', 'ce6733e1-687c-400d-909b-156dde2bd5a4']",175.17,1713026126.65,1713026301.81
"['write-jsonl', 'ce6733e1-687c-400d-909b-156dde2bd5a4']",0.01,1713026301.81,1713026301.82
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1899.zip']",254.39,1713026047.43,1713026301.82
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1899.zip']",255.10,1713026046.72,1713026301.82
"['initialize-parser', '1f32873c-0904-4bb8-b772-167e0477ab85']",0.00,1713026302.73,1713026302.73
"['parser-parse', '920ea800-270c-4895-b735-70d3978d998a']",175.29,1713026126.65,1713026301.94
"['write-jsonl', '920ea800-270c-4895-b735-70d3978d998a']",0.01,1713026301.94,1713026301.94
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3791.zip']",254.94,1713026047.01,1713026301.94
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3791.zip']",255.23,1713026046.72,1713026301.95
"['initialize-parser', 'cdc6f6de-8f25-4bab-8847-675065f113d3']",0.00,1713026302.88,1713026302.88
"['parser-parse', '3a28add6-a300-4b94-93a8-0a0257881ec3']",178.01,1713026126.65,1713026304.66
"['write-jsonl', '3a28add6-a300-4b94-93a8-0a0257881ec3']",0.01,1713026304.66,1713026304.67
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2451.zip']",257.03,1713026047.64,1713026304.67
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2451.zip']",257.95,1713026046.72,1713026304.67
"['initialize-parser', '2380d243-0cd4-47c1-b005-6f9bceb04f56']",0.00,1713026305.59,1713026305.59
"['parser-parse', 'a4aa7b44-fcc5-4724-b541-a0956e7f0d0b']",178.21,1713026126.65,1713026304.86
"['write-jsonl', 'a4aa7b44-fcc5-4724-b541-a0956e7f0d0b']",0.01,1713026304.86,1713026304.87
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1122.zip']",257.86,1713026047.00,1713026304.87
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1122.zip']",258.15,1713026046.72,1713026304.87
"['initialize-parser', '487e72f2-7cc6-451f-85fe-8970d428c47f']",0.00,1713026305.76,1713026305.76
"['parser-parse', 'acf81efc-be20-45c8-8266-8a2d278e6abb']",179.94,1713026126.65,1713026306.59
"['write-jsonl', 'acf81efc-be20-45c8-8266-8a2d278e6abb']",0.01,1713026306.59,1713026306.60
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1998.zip']",259.44,1713026047.16,1713026306.60
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1998.zip']",259.88,1713026046.72,1713026306.60
"['initialize-parser', '630d5359-d09e-49fd-be84-d1a71fab5954']",0.00,1713026307.48,1713026307.48
"['parser-parse', 'a65d7bfa-7ac3-4c47-8359-1f358dfcb453']",180.50,1713026126.65,1713026307.14
"['write-jsonl', 'a65d7bfa-7ac3-4c47-8359-1f358dfcb453']",0.01,1713026307.14,1713026307.15
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-157.zip']",260.06,1713026047.09,1713026307.15
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-157.zip']",260.43,1713026046.72,1713026307.15
"['initialize-parser', '5af192ee-98b4-4e65-9cca-b13f2660d00b']",0.00,1713026308.05,1713026308.05
"['parser-parse', 'be4363da-a775-4c51-8e1d-4abcf455e67c']",182.13,1713026126.65,1713026308.78
"['write-jsonl', 'be4363da-a775-4c51-8e1d-4abcf455e67c']",0.01,1713026308.78,1713026308.79
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3087.zip']",261.76,1713026047.02,1713026308.79
