tags,elapsed_s,start_unix,end_unix
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3087.zip']",262.07,1713026046.72,1713026308.79
"['initialize-parser', '395f1fb1-1dff-47f0-acb7-9172ed53edba']",0.00,1713026309.68,1713026309.68
"['parser-parse', '7cd708b8-8610-4338-8015-d09ebc4edb06']",213.48,1713026126.65,1713026340.14
"['write-jsonl', '7cd708b8-8610-4338-8015-d09ebc4edb06']",0.01,1713026340.14,1713026340.14
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2489.zip']",293.10,1713026047.05,1713026340.15
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2489.zip']",293.42,1713026046.72,1713026340.15
"['initialize-parser', '2b4e2c65-0bac-4955-ab1b-56dbc1bee2d2']",0.00,1713026341.78,1713026341.78
"['parser-parse', '5092e9d6-04a8-41a4-872a-369116bcc7a3']",166.72,1713026299.28,1713026466.01
"['write-jsonl', '5092e9d6-04a8-41a4-872a-369116bcc7a3']",0.00,1713026466.01,1713026466.01
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2625.zip']",166.73,1713026299.28,1713026466.01
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2625.zip']",167.64,1713026298.38,1713026466.01
"['initialize-parser', '6706bc8d-8077-4d5c-a051-671647cda980']",0.00,1713026466.98,1713026466.98
"['parser-parse', '0c817f15-dea0-443b-be6c-f51cbeaa19cd']",168.02,1713026299.25,1713026467.28
"['write-jsonl', '0c817f15-dea0-443b-be6c-f51cbeaa19cd']",0.00,1713026467.28,1713026467.28
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-549.zip']",168.03,1713026299.25,1713026467.28
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-549.zip']",169.01,1713026298.27,1713026467.28
"['initialize-parser', '8df3c789-9be1-4dc2-aafd-633bcf6c765c']",0.00,1713026468.18,1713026468.18
"['parser-parse', 'effcadd3-ea00-45da-8b54-f7bea0de2569']",167.05,1713026302.53,1713026469.58
"['write-jsonl', 'effcadd3-ea00-45da-8b54-f7bea0de2569']",0.00,1713026469.58,1713026469.58
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2002.zip']",167.06,1713026302.53,1713026469.58
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2002.zip']",167.97,1713026301.61,1713026469.58
"['initialize-parser', '1291b7d2-5f30-46d3-9c47-66999f946b7b']",0.00,1713026470.56,1713026470.56
"['parser-parse', '7a30310d-d4d7-4beb-b671-41d76a257561']",168.16,1713026301.66,1713026469.82
"['write-jsonl', '7a30310d-d4d7-4beb-b671-41d76a257561']",0.00,1713026469.82,1713026469.82
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1276.zip']",168.16,1713026301.66,1713026469.82
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1276.zip']",168.98,1713026300.84,1713026469.82
"['initialize-parser', '744ce534-3f30-48ef-a616-2dffe0782d1e']",0.00,1713026470.79,1713026470.79
"['parser-parse', 'cdc6f6de-8f25-4bab-8847-675065f113d3']",171.38,1713026302.88,1713026474.26
"['write-jsonl', 'cdc6f6de-8f25-4bab-8847-675065f113d3']",0.00,1713026474.26,1713026474.26
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2650.zip']",171.39,1713026302.88,1713026474.26
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2650.zip']",172.31,1713026301.95,1713026474.26
"['initialize-parser', '3f9ca78c-5ff2-4f93-9764-65560dfd1770']",0.00,1713026475.20,1713026475.20
"['parser-parse', '2380d243-0cd4-47c1-b005-6f9bceb04f56']",168.65,1713026305.59,1713026474.24
"['write-jsonl', '2380d243-0cd4-47c1-b005-6f9bceb04f56']",0.00,1713026474.24,1713026474.24
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2151.zip']",168.66,1713026305.59,1713026474.24
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2151.zip']",169.56,1713026304.68,1713026474.24
"['initialize-parser', 'e424f748-410b-4343-9ca8-3c11506fdca4']",0.00,1713026475.27,1713026475.27
"['parser-parse', '1f32873c-0904-4bb8-b772-167e0477ab85']",172.08,1713026302.73,1713026474.82
"['write-jsonl', '1f32873c-0904-4bb8-b772-167e0477ab85']",0.00,1713026474.82,1713026474.82
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2981.zip']",172.09,1713026302.73,1713026474.82
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2981.zip']",172.99,1713026301.84,1713026474.82
"['initialize-parser', '514eb209-f612-400d-979b-34b28928cfd5']",0.00,1713026475.77,1713026475.77
"['parser-parse', '487e72f2-7cc6-451f-85fe-8970d428c47f']",172.02,1713026305.76,1713026477.78
"['write-jsonl', '487e72f2-7cc6-451f-85fe-8970d428c47f']",0.00,1713026477.78,1713026477.78
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2883.zip']",172.03,1713026305.76,1713026477.78
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2883.zip']",172.90,1713026304.88,1713026477.79
"['initialize-parser', '8137a08e-c8ca-413d-84f4-f3cabe9ab650']",0.00,1713026478.76,1713026478.76
"['parser-parse', '630d5359-d09e-49fd-be84-d1a71fab5954']",174.46,1713026307.48,1713026481.94
"['write-jsonl', '630d5359-d09e-49fd-be84-d1a71fab5954']",0.00,1713026481.94,1713026481.94
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2432.zip']",174.46,1713026307.48,1713026481.94
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2432.zip']",175.33,1713026306.61,1713026481.94
"['initialize-parser', '0849b491-03d7-46b7-a6f4-c8295044448d']",0.00,1713026482.86,1713026482.86
"['parser-parse', '5af192ee-98b4-4e65-9cca-b13f2660d00b']",174.54,1713026308.05,1713026482.59
"['write-jsonl', '5af192ee-98b4-4e65-9cca-b13f2660d00b']",0.00,1713026482.59,1713026482.59
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1332.zip']",174.54,1713026308.05,1713026482.59
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1332.zip']",175.43,1713026307.17,1713026482.59
"['initialize-parser', 'b212a692-c315-4687-b8f8-56056e4ece37']",0.00,1713026483.54,1713026483.54
"['parser-parse', '395f1fb1-1dff-47f0-acb7-9172ed53edba']",177.22,1713026309.68,1713026486.90
"['write-jsonl', '395f1fb1-1dff-47f0-acb7-9172ed53edba']",0.00,1713026486.90,1713026486.90
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2793.zip']",177.22,1713026309.68,1713026486.90
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2793.zip']",178.10,1713026308.80,1713026486.90
"['initialize-parser', '03701e72-3506-419c-b37d-1918b88ad396']",0.00,1713026487.86,1713026487.86
"['parser-parse', '2b4e2c65-0bac-4955-ab1b-56dbc1bee2d2']",205.14,1713026341.78,1713026546.93
"['write-jsonl', '2b4e2c65-0bac-4955-ab1b-56dbc1bee2d2']",0.00,1713026546.93,1713026546.93
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2152.zip']",205.15,1713026341.78,1713026546.93
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2152.zip']",206.78,1713026340.16,1713026546.94
"['initialize-parser', '477f272f-5e94-426a-b905-6f78405e7c97']",0.00,1713026548.29,1713026548.29
"['parser-parse', '6706bc8d-8077-4d5c-a051-671647cda980']",167.39,1713026466.98,1713026634.37
"['write-jsonl', '6706bc8d-8077-4d5c-a051-671647cda980']",0.00,1713026634.37,1713026634.37
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1114.zip']",167.40,1713026466.98,1713026634.37
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1114.zip']",168.35,1713026466.03,1713026634.37
"['initialize-parser', '0665a4ce-9f77-4517-ab46-d73e7f227fa6']",0.00,1713026635.37,1713026635.37
"['parser-parse', '8df3c789-9be1-4dc2-aafd-633bcf6c765c']",170.36,1713026468.18,1713026638.55
"['write-jsonl', '8df3c789-9be1-4dc2-aafd-633bcf6c765c']",0.00,1713026638.55,1713026638.55
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1522.zip']",170.37,1713026468.18,1713026638.55
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1522.zip']",171.26,1713026467.29,1713026638.55
"['initialize-parser', 'd4ba2776-ede5-4b02-b82f-b90cef75d995']",0.00,1713026639.59,1713026639.59
"['parser-parse', '1291b7d2-5f30-46d3-9c47-66999f946b7b']",168.81,1713026470.56,1713026639.37
"['write-jsonl', '1291b7d2-5f30-46d3-9c47-66999f946b7b']",0.01,1713026639.37,1713026639.38
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2004.zip']",168.83,1713026470.56,1713026639.38
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2004.zip']",169.79,1713026469.60,1713026639.39
"['initialize-parser', '3d1b1067-2342-4716-93fe-80c16647bc71']",0.00,1713026640.36,1713026640.36
"['parser-parse', '744ce534-3f30-48ef-a616-2dffe0782d1e']",169.84,1713026470.79,1713026640.63
"['write-jsonl', '744ce534-3f30-48ef-a616-2dffe0782d1e']",0.00,1713026640.63,1713026640.63
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-467.zip']",169.85,1713026470.79,1713026640.63
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-467.zip']",170.80,1713026469.83,1713026640.64
"['initialize-parser', '46c280c7-f7a2-4721-8c0e-a029f721355f']",0.00,1713026641.64,1713026641.64
"['parser-parse', 'e424f748-410b-4343-9ca8-3c11506fdca4']",170.33,1713026475.27,1713026645.60
"['write-jsonl', 'e424f748-410b-4343-9ca8-3c11506fdca4']",0.00,1713026645.60,1713026645.60
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2056.zip']",170.34,1713026475.27,1713026645.60
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2056.zip']",171.35,1713026474.26,1713026645.61
"['initialize-parser', 'a4a57e77-928f-4b9e-8553-cbc0063f6db6']",0.00,1713026646.62,1713026646.62
"['parser-parse', '3f9ca78c-5ff2-4f93-9764-65560dfd1770']",171.65,1713026475.20,1713026646.84
"['write-jsonl', '3f9ca78c-5ff2-4f93-9764-65560dfd1770']",0.00,1713026646.84,1713026646.85
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3263.zip']",171.65,1713026475.19,1713026646.85
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3263.zip']",172.57,1713026474.27,1713026646.85
"['initialize-parser', '6e5aa616-7802-4b61-b96a-827ee5ba7ce4']",0.00,1713026647.92,1713026647.92
"['parser-parse', '514eb209-f612-400d-979b-34b28928cfd5']",172.26,1713026475.77,1713026648.02
"['write-jsonl', '514eb209-f612-400d-979b-34b28928cfd5']",0.00,1713026648.02,1713026648.03
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3496.zip']",172.26,1713026475.77,1713026648.03
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3496.zip']",173.19,1713026474.84,1713026648.03
"['initialize-parser', 'bbcb18b6-1c51-4d83-9b11-7439720d349d']",0.00,1713026649.03,1713026649.03
"['parser-parse', '8137a08e-c8ca-413d-84f4-f3cabe9ab650']",173.22,1713026478.76,1713026651.98
"['write-jsonl', '8137a08e-c8ca-413d-84f4-f3cabe9ab650']",0.00,1713026651.98,1713026651.98
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2407.zip']",173.22,1713026478.76,1713026651.98
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2407.zip']",174.19,1713026477.80,1713026651.98
"['initialize-parser', 'e642e0b9-86ab-46b7-81d1-f3e073dc8b86']",0.00,1713026652.98,1713026652.98
"['parser-parse', '0849b491-03d7-46b7-a6f4-c8295044448d']",177.62,1713026482.86,1713026660.48
"['write-jsonl', '0849b491-03d7-46b7-a6f4-c8295044448d']",0.00,1713026660.48,1713026660.49
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2829.zip']",177.62,1713026482.86,1713026660.49
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2829.zip']",178.53,1713026481.96,1713026660.49
"['initialize-parser', 'c0f7eb64-005b-438e-aaf7-7e5772c77cea']",0.00,1713026661.51,1713026661.51
"['parser-parse', 'b212a692-c315-4687-b8f8-56056e4ece37']",177.18,1713026483.54,1713026660.71
"['write-jsonl', 'b212a692-c315-4687-b8f8-56056e4ece37']",0.00,1713026660.71,1713026660.72
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2495.zip']",177.18,1713026483.54,1713026660.72
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-2495.zip']",178.11,1713026482.61,1713026660.72
"['initialize-parser', '181f2e88-b74d-4c3d-bb8b-4abb2734cdfb']",0.00,1713026661.77,1713026661.77
"['parser-parse', '03701e72-3506-419c-b37d-1918b88ad396']",178.80,1713026487.86,1713026666.65
"['write-jsonl', '03701e72-3506-419c-b37d-1918b88ad396']",0.00,1713026666.65,1713026666.65
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1987.zip']",178.80,1713026487.85,1713026666.65
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1987.zip']",179.74,1713026486.92,1713026666.66
"['initialize-parser', 'bf4c9751-3c88-492d-913a-6c4744817e2a']",0.00,1713026667.66,1713026667.66
"['parser-parse', '477f272f-5e94-426a-b905-6f78405e7c97']",206.24,1713026548.29,1713026754.53
"['write-jsonl', '477f272f-5e94-426a-b905-6f78405e7c97']",0.00,1713026754.53,1713026754.53
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1078.zip']",206.24,1713026548.29,1713026754.53
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-1078.zip']",207.59,1713026546.95,1713026754.54
"['initialize-parser', 'e53e0917-4c7d-4e9e-9339-f96e37b7d161']",0.00,1713026755.60,1713026755.60
"['parser-parse', '0665a4ce-9f77-4517-ab46-d73e7f227fa6']",168.88,1713026635.37,1713026804.25
"['write-jsonl', '0665a4ce-9f77-4517-ab46-d73e7f227fa6']",0.00,1713026804.25,1713026804.25
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-721.zip']",168.88,1713026635.37,1713026804.25
"['finished-parsing', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-721.zip']",169.87,1713026634.39,1713026804.25
"['initialize-parser', '57452598-8772-41f6-9aec-59e890d725f3']",0.00,1713026805.29,1713026805.29
"['parser-parse', 'd4ba2776-ede5-4b02-b82f-b90cef75d995']",170.56,1713026639.59,1713026810.15
"['write-jsonl', 'd4ba2776-ede5-4b02-b82f-b90cef75d995']",0.00,1713026810.15,1713026810.16
"['parse-pdfs', '/lus/gila/projects/candle_aesp_CNDA/hippekp/aglimmer/data/pdfs/zip-scaling-data-small/10pdfs-3874.zip']",170.57,1713026639.59,1713026810.16
