tags,elapsed_s,start_unix,end_unix
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-14636.zip']",90.72,1713122654.71,1713122745.43
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-14636.zip']",90.86,1713122654.57,1713122745.43
"['initialize-parser', 'c2898bde-1513-4f73-94ac-4bb44089c220']",0.00,1713122747.01,1713122747.01
"['parser-parse', 'e9f470df-554c-4236-b275-448e003ab1b9']",59.18,1713122686.57,1713122745.76
"['write-jsonl', 'e9f470df-554c-4236-b275-448e003ab1b9']",0.00,1713122745.76,1713122745.76
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-16628.zip']",91.05,1713122654.71,1713122745.76
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-16628.zip']",91.19,1713122654.57,1713122745.76
"['initialize-parser', '0a6e79fb-2927-4446-aac6-2f424fa432ca']",0.00,1713122747.31,1713122747.31
"['parser-parse', 'ca5a1ecd-4a62-4089-a057-4827c70b11ff']",59.68,1713122686.61,1713122746.28
"['write-jsonl', 'ca5a1ecd-4a62-4089-a057-4827c70b11ff']",0.00,1713122746.28,1713122746.29
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-3667.zip']",91.57,1713122654.71,1713122746.29
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-3667.zip']",91.71,1713122654.58,1713122746.29
"['initialize-parser', '91d07a20-a9b7-4f05-a602-183c193ec1b9']",0.00,1713122747.42,1713122747.42
"['parser-parse', '2a110a9d-c71b-4b55-85b5-8a5fd2dd66d2']",59.68,1713122686.61,1713122746.28
"['write-jsonl', '2a110a9d-c71b-4b55-85b5-8a5fd2dd66d2']",0.00,1713122746.28,1713122746.29
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-1045.zip']",91.57,1713122654.71,1713122746.29
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-1045.zip']",91.71,1713122654.58,1713122746.29
"['initialize-parser', '083d69ce-ff6f-4c17-b1fb-644de6d76137']",0.00,1713122747.46,1713122747.46
