tags,elapsed_s,start_unix,end_unix
"['initialize-parser', '2a2f70d5-03bf-46ab-a71d-d56124dfe4dc']",144.50,1713121676.17,1713121820.67
"['initialize-parser', '9c8a8392-0dd6-456e-90be-d9b8e144dc78']",144.12,1713121676.55,1713121820.67
"['initialize-parser', '32c44aea-13ef-4199-ad3c-767c3a4aa4d8']",144.40,1713121676.27,1713121820.67
"['initialize-parser', '47982988-ecdc-4573-a98c-96b9431ee210']",144.19,1713121676.47,1713121820.67
"['initialize-parser', 'b08e83e6-0254-4e20-b8b0-ef65070206f6']",144.12,1713121676.54,1713121820.67
"['initialize-parser', 'f9316069-4b7f-40b0-bd77-d1cb98c03c8a']",143.98,1713121676.69,1713121820.67
"['initialize-parser', '194db21a-d9bd-48fa-b986-210295eaa9ad']",144.36,1713121676.31,1713121820.67
"['initialize-parser', '9cfc25f9-3a00-4e90-b4a3-e80c254090e5']",144.34,1713121676.33,1713121820.67
"['parser-parse', 'f9316069-4b7f-40b0-bd77-d1cb98c03c8a']",72.68,1713121820.67,1713121893.35
"['write-jsonl', 'f9316069-4b7f-40b0-bd77-d1cb98c03c8a']",0.01,1713121893.35,1713121893.35
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-34619.zip']",216.67,1713121676.69,1713121893.35
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-34619.zip']",217.83,1713121675.52,1713121893.36
"['initialize-parser', 'cca8f1a9-778c-4736-ae7a-40fdec4b4ee3']",0.00,1713121894.02,1713121894.02
"['parser-parse', '2a2f70d5-03bf-46ab-a71d-d56124dfe4dc']",72.69,1713121820.67,1713121893.36
"['write-jsonl', '2a2f70d5-03bf-46ab-a71d-d56124dfe4dc']",0.00,1713121893.36,1713121893.37
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-36859.zip']",217.20,1713121676.17,1713121893.37
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-36859.zip']",217.87,1713121675.50,1713121893.37
"['initialize-parser', '90046484-9f34-45d0-b6f1-27af96aaea10']",0.00,1713121894.18,1713121894.18
